Abbreviation,Full species name
Agro.rupe,Agrostis rupestris All.
Alop.alpi,Alopecurus alpinus Vill.
Anth.nipp,Anthoxanthum odoratum L.  subsp. nipponicum (Honda) Tzvelev
Heli.sede,Helictotrichon sedenense (DC.) Holub
Aven.vers,Avenula versicolor (Vill.) Lainz
Care.rosa,Carex curvula All.  subsp. rosae Gilomen
Care.foet,Carex foetida All.
Care.parv,Carex parviflora Host
Care.rupe,Carex rupestris All.
Care.semp,Carex sempervirens Vill.
Fest.laev,Festuca laevigata Gaudin
Fest.quad,Festuca quadriflora Honckeny
Fest.viol,Festuca violacea Gaudin
Kobr.myos,Kobresia myosuroides (Vill.) Fiori
Luzu.lute,Luzula lutea (All.) DC.
Poa.alpi,Poa alpina L.
Poa.supi,Poa supina Schrader
Sesl.caer,Sesleria caerulea (L.) Ard.
Alch.pent,Alchemilla pentaphyllea L.
Alch.glau,Alchemilla glaucescens Wallr.
Alch.vulg,Alchemilla vulgaris L. gr.
Andr.brig,Androsace adfinis Biroli subsp. brigantiaca (Jordan & Fourr.) Kress
Ante.carp,Antennaria carpatica (Wahlenb.) Bluff & Fingerh.
Ante.dioi,Antennaria dioica (L.) Gaertner
Arni.mont,Arnica montana L.
Aste.alpi,Aster alpinus L.
Bart.alpi,Bartsia alpina L.
Camp.sche,Campanula scheuchzeri Vill.
Card.alpi,Cardamine bellidifolia L.  subsp. alpina (Willd.) B.M.G. Jones
Cera.stri,Cerastium arvense L.  subsp. strictum (Koch) Gremli
Cera.cera,Cerastium cerastoides (L.) Britton
Leuc.alpi,Leucanthemopsis alpina (L.) Heywood
Cirs.acau,Cirsium acaule Scop.
Drab.aizo,Draba aizoides L.
Drya.octo,Dryas octopetala L.
Erig.unif,Erigeron uniflorus L.
Gent.camp,Gentianella campestris (L.) Borner
Gent.acau,Gentiana acaulis L.
Gent.vern,Gentiana verna L.
Geum.mont,Geum montanum L.
Omal.supi,Omalotheca supina (L.) DC.
Andr.vita,Androsace vitaliana (L.) Lapeyr.
Hier.pili,Hieracium piliferum Hoppe gr.
Homo.alpi,Homogyne alpina (L.) Cass.
Leon.pyre,Leontodon pyrenaicus Gouan  subsp. helveticus (Merat) Finch & P.D. Sell
Ligu.muto,Pachypleurum mutellinoides (Crantz) Vill.
Lloy.sero,Lloydia serotina (L.) Reichenb.
Minu.sedo,Minuartia sedoides (L.) Hiern
Minu.vern,Minuartia verna (L.) Hiern
Phyt.orbi,Phyteuma orbiculare L.
Plan.alpi,Plantago alpina L.
Poly.vivi,Polygonum viviparum L.
Pote.aure,Potentilla aurea L.
Pote.cran,Potentilla crantzii (Crantz) G. Beck ex Fritsch
Pote.gran,Potentilla grandiflora L.
Puls.vern,Pulsatilla vernalis (L.) Miller
Ranu.kuep,Ranunculus kuepferi Greuter & Burdet
Sagi.glab,Sagina glabra (Willd.) Fenzl
Sali.herb,Salix herbacea L.
Sali.reti,Salix reticulata L.
Sali.retu,Salix retusa L.
Sali.serp,Salix serpyllifolia Scop.
Saxi.pani,Saxifraga paniculata Miller
Sedu.alpe,Sedum alpestre Vill.
Semp.mont,Sempervivum montanum L.
Sene.inca,Senecio incanus L.
Sibb.proc,Sibbaldia procumbens L.
Sile.acau,Silene acaulis (L.) Jacq.  
Thym.poly,Thymus polytrichus Borbas subsp. vallicola (H. Braun) Kerguelen
Vero.alpi,Veronica alpina L.
Vero.alli,Veronica allionii Vill.
Vero.bell,Veronica bellidioides L.
Myos.alpe,Myosotis alpestris F.W. Schmidt
Tara.alpi,Taraxacum alpinum Weber
Scab.luci,Scabiosa lucida Vill.
Anth.alpe,Anthyllis vulneraria L.  subsp. alpestris (Kit.) Ascherson & Graebner
Oxyt.camp,Oxytropis campestris (L.) DC.
Oxyt.lapp,Oxytropis lapponica (Wahlenb.) Gay
Lotu.alpi,Lotus alpinus (DC.) Schleicher ex Ramond
Trif.alpi,Trifolium alpinum L.
Trif.badi,Trifolium badium Schreber
Trif.thal,Trifolium thalii Vill.
